X,Y,Angle,Distance
1770.093604263824,88.7854763491006,1.5533213982820118,1711.4758363645406
1770.0653551183727,164.92730910303433,1.5524905344876463,1635.3466872444
1770.036654448517,241.0,1.5515790997553185,1559.2879150678484
1770.070356785595,317.0696898966322,1.5506162953301235,1483.2323109230774
1770.093604263824,393.2145236508994,1.5495408530583248,1407.1033256206506
1770.0877367896312,469.28979727484216,1.548321691326297,1331.046350480402
1770.0667552308203,545.3968781135835,1.5469421162801322,1254.960155777686
1770.0527888446215,621.496347941567,1.5453905780196058,1178.884088182994
1770.096409574468,697.7157579787234,1.543674232070253,1102.689790888062
1770.093604263824,773.7854763491006,1.5416621321025783,1026.6502038464569
1770.0653551183727,849.9273091030343,1.5392990052599693,950.544160443054
1770.036654448517,926.0,1.536526744484428,874.5134659207013
1685.6503148823335,92.38979118329466,1.5039314077908978,1711.4346250270683
1685.5,168.66114058355438,1.5007234955532562,1635.3521713203397
1685.2829122340424,245.0,1.4971566803330807,1559.2257726915311
1684.9966766367563,321.30840810900634,1.4931788665421653,1483.1569668493325
1686.3388594164455,397.5,1.4899312408984793,1407.0981148728595
1684.2822473404256,474.09474734042556,1.4837423788946715,1330.9452796080056
1683.9455692001327,550.5064719548623,1.4781808673581083,1254.871590058109
1685.5,626.8164347249834,1.4735067654360003,1178.7577901466436
1685.0877367896312,703.2897972748422,1.4663982057053953,1102.71396880496
1684.7102027251578,779.9122632103689,1.45825439518216,1026.582061066852
1601.7093448619887,100.08879281676089,1.4546734568430013,1711.4372019511086
1601.2758964143427,176.81440903054448,1.448974111522706,1635.3050883785518
1684.3388594164455,856.5,1.4488175908953989,950.5628592792214
1600.823490378235,253.59522229595223,1.4427018311131123,1559.1789565316146
1686.42197875166,933.0,1.4405369098619007,874.4077806782648
1600.3301292674842,330.3927742790852,1.4357570531294657,1483.109387459153
1603.0,406.80219414893617,1.4303262746362355,1407.0569022709133
1599.0877367896312,484.28979727484216,1.4192643816798156,1330.961710592528
1598.3959508795222,561.4012612014603,1.4094434779019864,1254.8988120064123
1518.1813040585496,112.01663339986693,1.4053662960602928,1711.3473122954495
1601.4898771988053,638.0448058413541,1.4015884578380873,1178.7901179119217
1517.606030483764,189.34029158383035,1.3972322895686118,1635.2281340334127
